Date,GORH,GPRH,GPTH,LPRH,OPRH,OPT,WCTH,WIRH,WITH,WPRH,WPTH
36526,0,0,0,0,0,0,0,0,0,0,0
36527,0,0,0,0,0,0,0,0,0,0,0
36530,0,0,0,0,0,0,0,0,0,0,0
36530.5,0,0,0,0,0,0,0,0,0,0,0
36531.125,0,0,0,0,0,0,0,0,0,0,0
36532.10156,0,0,0,0,0,0,0,0,0,0,0
36533.62744,0,0,0,0,0,0,0,0,0,0,0
36536.01163,0,0,0,0,0,0,0,0,0,0,0
36539.73692,0,0,0,0,0,0,0,0,0,0,0
36544.73692,0,0,0,0,0,0,0,0,0,0,0
36549.73692,0,0,0,0,0,0,0,0,0,0,0
36553.36846,0,0,0,0,0,0,0,0,0,0,0
36553.73161,0,0,0,0,0,0,0,0,0,0,0
36554.18556,0,0,0,0,0,0,0,0,0,0,0
36554.89484,0,0,0,0,0,0,0,0,0,0,0
36555.94742,0,0,0,0,0,0,0,0,0,0,0
36557,0,0,0,0,0,0,0,0,0,0,0
36558,184,2131862,2131862,12134.44824,11586.20703,11586.20703,0.045180544,4827.585938,4827.585938,548.2409668,548.2409668
36558.23277,184,2131862,2628089.25,12134.44824,11586.20703,14283.09375,0.045180544,4827.585938,5951.288574,548.2409668,675.8533936
36558.52373,184,2131862,3248373,12134.44824,11586.20703,17654.20313,0.045180544,4827.585938,7355.916992,548.2409668,835.3688965
36558.97835,184,2131862,4217566.5,12134.44824,11586.20703,22921.55859,0.045180544,4827.585938,9550.648438,548.2409668,1084.611938
36559.6887,184,2131862,5731932,12134.44824,11586.20703,31151.80469,0.045180544,4827.585938,12979.91699,548.2409668,1474.054077
36560.79862,184,2131862,8098127,12134.44824,11586.20703,44011.5625,0.045180544,4827.585938,18338.14844,548.2409668,2082.557373
36560.97204,184,2131862,8467845,12134.44824,11586.20703,46020.89844,0.045180544,4827.585938,19175.37305,548.2409668,2177.63623
36561.18882,184,2131862,8929993,12134.44824,11586.20703,48532.57031,0.045180544,4827.585938,20221.90234,548.2409668,2296.484375
36561.52754,184,2131862,9652098,12134.44824,11586.20703,52457.05859,0.045180544,4827.585938,21857.10547,548.2409668,2482.185059
36562.05679,184,2131862,10780388,12134.44824,11586.20703,58589.06641,0.045180544,4827.585938,24412.10938,548.2409668,2772.342041
36562.88375,184,2131862,12543341,12134.44824,11586.20703,68170.33594,0.045180544,4827.585938,28404.30273,548.2409668,3225.712402
36564.17587,184,2131862,15297955,12134.44824,11586.20703,83141.0625,0.045180544,4827.585938,34642.10547,548.2409668,3934.103516
36566.1948,184,2131862,19602040,12134.44824,11586.20703,106532.8281,0.045180544,4827.585938,44388.67188,548.2409668,5040.964844
36569.34938,184,2131862,26327172,12134.44824,11586.20703,143082.4531,0.045180544,4827.585938,59617.68359,548.2409668,6770.435547
36569.84228,184,2131862,27377974,12134.44824,11586.20703,148793.3438,0.045180544,4827.585938,61997.21875,548.2409668,7040.665039
36570.45841,184,2131862,28691476,12134.44824,11586.20703,155931.9375,0.045180544,4827.585938,64971.63281,548.2409668,7378.452637
36571.42111,184,2131862,30743822,12134.44824,11586.20703,167086,0.045180544,4827.585938,69619.15625,548.2409668,7906.245117
36572.92533,184,2131862,33950616,12134.44824,11586.20703,184514.2188,0.045180544,4827.585938,76880.92188,548.2409668,8730.920898
36573.16037,184,2131862,34451676,12134.44824,11586.20703,187237.375,0.045180544,4827.585938,78015.57031,548.2409668,8859.776367
36573.45416,184,2131862,35078004,12134.44824,11586.20703,190641.3281,0.045180544,4827.585938,79433.88281,548.2409668,9020.845703
36573.91322,184,2131862,36056640,12134.44824,11586.20703,195960,0.045180544,4827.585938,81649.99219,548.2409668,9272.517578
36574.63048,184,2131862,37585756,12134.44824,11586.20703,204270.4219,0.045180544,4827.585938,85112.67188,548.2409668,9665.75293
36575.75122,184,2131862,39975004,12134.44824,11586.20703,217255.4688,0.045180544,4827.585938,90523.10156,548.2409668,10280.18457
36577.50236,184,2131862,43708204,12134.44824,11586.20703,237544.5781,0.045180544,4827.585938,98976.89844,548.2409668,11240.2334
36580.23852,184,2131862,49541324,12134.44824,11586.20703,269246.3438,0.045180544,4827.585938,112185.9609,548.2409668,12740.31055
36583.11926,184,2131862,55682664,12134.44824,11586.20703,302623.1875,0.045180544,4827.585938,126092.9766,548.2409668,14319.64941
36586,184,2131862,61824000,12134.44824,11586.20703,336000,0.045180544,4827.585938,140000,548.2409668,15898.98926
36586.1,184,2168141.5,62040812,12321.04688,11783.37695,337178.3438,0.043638337,5000,140500,537.6699829,15952.75586
36586.225,184,2168141.5,62311832,12321.04688,11783.37695,338651.2813,0.043638337,5000,141125,537.6699829,16019.96484
36586.42031,184,2168141.5,62735296,12321.04688,11783.37695,340952.7188,0.043638337,5000,142101.5625,537.6699829,16124.97852
36586.72549,184,2168141.5,63396960,12321.04688,11783.37695,344548.7188,0.043638337,5000,143627.4375,537.6699829,16289.0625
36587.20232,184,2168141.5,64430812,12321.04688,11783.37695,350167.4688,0.043638337,5000,146011.625,537.6699829,16545.44336
36587.94738,184,2168141.5,66046204,12321.04688,11783.37695,358946.75,0.043638337,5000,149736.9063,537.6699829,16946.03906
36589.11154,184,2168141.5,68570248,12321.04688,11783.37695,372664.4063,0.043638337,5000,155557.6719,537.6699829,17571.96875
