Date,GOR,GPR,GPT,LPR,OIP,OPR,OPT,PRESSURE,VPR,VPT,WCT,WGR,WIP,WIR,WIT,WPR,WPT
36526,0,0,0,0,28353970,0,0,306.4155579,0,0,0,0,343435584,0,0,0,0
36527,0,0,0,0,28353970,0,0,306.4155579,0,0,0,0,343435584,0,0,0,0
36530,0,0,0,0,28353970,0,0,306.4155579,0,0,0,0,343435584,0,0,0,0
36530.5,0,0,0,0,28353970,0,0,306.4155579,0,0,0,0,343435584,0,0,0,0
36531.125,0,0,0,0,28353970,0,0,306.4155579,0,0,0,0,343435584,0,0,0,0
36532.10156,0,0,0,0,28353970,0,0,306.4155579,0,0,0,0,343435584,0,0,0,0
36533.62744,0,0,0,0,28353970,0,0,306.4155579,0,0,0,0,343435584,0,0,0,0
36536.01163,0,0,0,0,28353970,0,0,306.4155579,0,0,0,0,343435584,0,0,0,0
36539.73692,0,0,0,0,28353970,0,0,306.4155579,0,0,0,0,343435584,0,0,0,0
36544.73692,0,0,0,0,28353970,0,0,306.4155579,0,0,0,0,343435584,0,0,0,0
36549.73692,0,0,0,0,28353970,0,0,306.4155579,0,0,0,0,343435584,0,0,0,0
36553.36846,0,0,0,0,28353970,0,0,306.4155579,0,0,0,0,343435584,0,0,0,0
36553.73161,0,0,0,0,28353970,0,0,306.4155579,0,0,0,0,343435584,0,0,0,0
36554.18556,0,0,0,0,28353970,0,0,306.4155579,0,0,0,0,343435584,0,0,0,0
36554.89484,0,0,0,0,28353970,0,0,306.4155579,0,0,0,0,343435584,0,0,0,0
36555.94742,0,0,0,0,28353970,0,0,306.4154968,0,0,0,0,343435584,0,0,0,0
36557,0,0,0,0,28353970,0,0,306.4154968,0,0,0,0,343435584,0,0,0,0
36558,184,1883415.75,1883415.75,12873.15625,28343734,10235.95508,10235.95508,305.5670776,19045.25781,19045.25781,0.204860479,0.001400222,343437792,4827.585938,4827.585938,2637.200928,2637.200928
36558.23277,184,1888377.625,2322967.75,12858.79688,28341344,10262.92188,12624.82422,305.3742371,19049.54297,23479.36133,0.201875389,0.001374659,343438304,4827.585938,5951.288574,2595.874512,3241.434814
