OPR,OPRH,GPR,GPRH,WCT,WCTH,OPT,OPTH,GPT,GPTH,WPT,WPTH,Date,BHP,GOR,PI,Temperature
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,414.9815
0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,414.963
0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,414.9445
0,0,0,0,0,0,0,0,0,0,0,0,5.125,0,0,0,414.926
0,0,0,0,0,0,0,0,0,0,0,0,6.1015625,0,0,0,414.9075
0,0,0,0,0,0,0,0,0,0,0,0,7.627441406,0,0,0,414.889
0,0,0,0,0,0,0,0,0,0,0,0,10.0116272,0,0,0,414.8705
0,0,0,0,0,0,0,0,0,0,0,0,13.7369175,0,0,0,414.852
0,0,0,0,0,0,0,0,0,0,0,0,18.7369175,0,0,0,414.8335
0,0,0,0,0,0,0,0,0,0,0,0,23.7369175,0,0,0,414.815
0,0,0,0,0,0,0,0,0,0,0,0,27.3684597,0,0,0,414.7965
0,0,0,0,0,0,0,0,0,0,0,0,27.73161316,0,0,0,414.778
0,0,0,0,0,0,0,0,0,0,0,0,28.18555641,0,0,0,414.7595
0,0,0,0,0,0,0,0,0,0,0,0,28.89484024,0,0,0,414.741
0,0,0,0,0,0,0,0,0,0,0,0,29.94742012,0,0,0,414.7225
0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,414.704
3785.250244,3862.069092,1883415.75,710620.6875,0.204860479,0.009547697,10235.95508,3862.069092,1883415.75,710620.6875,2637.200928,37.22932053,32,287.4881287,184,841.5610352,414.6855
3784.739502,3862.069092,1888377.625,710620.6875,0.201875389,0.009547697,12624.82422,4761.03125,2322967.75,876029.75,3241.434814,45.89507675,32.2327652,286.117218,184,840.3549805,414.667
3783.823486,3862.069092,1892167.125,710620.6875,0.19957754,0.009547697,15616.90332,5884.733887,2873510.25,1082791,3987.480469,56.72727585,32.52372742,284.8120728,184,838.399353,414.6485
3782.59375,3862.069092,1896578,710620.6875,0.196897924,0.009547697,20302.92578,7640.519531,3735738.25,1405855.625,5136.36084,73.65258026,32.97834778,283.1887207,184,834.9295654,414.63
3781.108154,3862.069092,1902268.75,710620.6875,0.193433926,0.009547697,27646.80469,10383.93457,5087012,1910643.875,6897.599609,100.0983734,33.68869781,281.1421509,184,829.045105,414.6115
3779.339111,3862.069092,1909801.375,710620.6875,0.188835889,0.009547697,39167.05469,14670.52051,7206738,2699375.75,9579.469727,141.4199219,34.79861832,278.5486145,184,819.1296997,414.593
3779.071533,3862.069092,1910978.25,710620.6875,0.1881354,0.009547697,40968.20313,15340.2998,7538149,2822615,9996.853516,147.8764191,34.97204208,278.1574707,184,817.5523682,414.5745
3778.758545,3862.069092,1912378.5,710620.6875,0.187278867,0.009547697,43221.28906,16177.52344,7952717,2976664.25,10516.04199,155.9470367,35.1888237,277.6835938,184,815.56427,414.556
3778.302002,3862.069092,1914513,710620.6875,0.185971081,0.009547697,46745.66016,17485.68555,8601202,3217366,11321.21191,168.557373,35.52754211,276.9785767,184,812.4267578,414.5375
3777.638672,3862.069092,1917708.625,710620.6875,0.184010789,0.009547697,52261.6875,19529.68945,9616151,3593462.75,12565.11133,188.2610168,36.05679321,275.9510193,184,807.4530029,414.519
3776.677979,3862.069092,1922377.625,710620.6875,0.181141555,0.009547697,60901.46484,22723.44531,11205870,4181113.75,14476.33594,219.0479736,36.8837471,274.4525452,184,799.6034546,414.5005
3775.236572,3862.069092,1928993,710620.6875,0.177065805,0.009547697,74447.57031,27713.6875,13698353,5099318.5,17390.9707,267.1525879,38.17586517,272.2919617,184,787.3035889,414.482
3772.999268,3862.069092,1937773.25,710620.6875,0.171637818,0.009547697,95709.70313,35510.94141,17610586,6534013,21796.51367,342.31604,40.19479752,269.1826172,184,768.1538086,414.4635
3769.322266,3862.069092,1948801.875,710620.6875,0.164790422,0.009547697,129120.8672,47694.15234,23758240,8775724,28388.67969,459.7589722,43.34937668,264.6768188,184,737.7920532,414.445
3768.730713,3862.069092,1950522.875,710620.6875,0.163755909,0.009547697,134345.9688,49597.77734,24719658,9125991,29411.875,478.1094055,43.84228134,263.9810486,184,733.0015259,414.4265
3767.982178,3862.069092,1952442.25,710620.6875,0.162560388,0.009547697,140883.7813,51977.3125,25922614,9563825,30680.96875,501.0474854,44.45841217,263.1173401,184,727.0995483,414.408
3766.733887,3862.069092,1955211.875,710620.6875,0.160831898,0.009547697,151113.5938,55695.33203,27804900,10247941,32641.57813,536.8882446,45.42111206,261.7940674,184,717.9355469,414.3895
3764.714844,3862.069092,1958984.25,710620.6875,0.158474997,0.009547697,167128.5156,61504.74219,30751646,11316872,35657.48828,592.8893433,46.92533493,259.7834167,184,703.5696411,414.371
3764.406494,3862.069092,1959574,710620.6875,0.158122301,0.009547697,169631.6094,62412.46094,31212214,11483892,36127.62109,601.6395264,47.16036987,259.4725342,184,701.3328247,414.3525
3764.012451,3862.069092,1960261.5,710620.6875,0.15769276,0.009547697,172761.5625,63547.10938,31788126,11692668,36713.59766,612.5772705,47.4541626,259.0841064,184,698.5264282,414.334
3763.386475,3862.069092,1961313.25,710620.6875,0.157034472,0.009547697,177654.7344,65320,32688472,12018880,37625.13672,629.6674805,47.91321564,258.4787292,184,694.1348267,414.3155
3762.380615,3862.069092,1962876,710620.6875,0.156055957,0.009547697,185306.4219,68090.14063,34096380,12528586,39040.03125,656.3709106,48.63048172,257.5440369,184,687.2451782,414.297
3760.726318,3862.069092,1964969.25,710620.6875,0.154745057,0.009547697,197274.9219,72418.48438,36298584,13325001,41231.16406,698.0949707,49.75121689,256.1055603,184,676.3894653,414.2785
3758.152588,3862.069092,1967849.25,710620.6875,0.152940303,0.009547697,216003.1094,79181.53125,39744572,14569401,44612.62109,763.2888794,51.50235748,253.9009247,184,659.7356567,414.26
3753.794434,3862.069092,1971278,710620.6875,0.150792226,0.009547697,245316.9063,89748.78125,45138312,16513775,49817.81641,865.1544189,54.23852158,250.5302429,184,633.7755127,414.2415
